date,team1,team1_score,team2,team2_score,team1_FGA,team1_FG_pct,team1_FTA,team1_FT_pct,team1_TRB,team1_fg3a,team1_fg3_pct,team1_TOV,team1_stl,team1_blk,team1_ast,team2_FGA,team2_FG_pct,team2_FTA,team2_FT_pct,team2_TRB,team2_fg3a,team2_fg3_pct,team2_TOV,team2_stl,team2_blk,team2_ast,Home_Team_ID,Away_Team_ID,HomeWin,month
2023-11-12,Detroit,108,Chicago,119,88,0.432,26,0.808,49,32,0.344,16,4,6,26,91,0.484,25,0.8,40,30,0.367,6,12,6,22,2,13,1,0
2023-11-12,Minnesota,116,Golden State,110,82,0.524,30,0.7,47,27,0.333,14,8,6,27,96,0.385,28,0.857,51,43,0.279,14,9,0,24,19,28,0,0
2023-11-12,Denver,104,Houston,107,91,0.462,14,0.786,49,32,0.281,11,3,5,24,87,0.425,29,0.793,45,32,0.313,9,7,4,20,29,8,1,0
2023-11-12,Memphis,105,LA Clippers,101,88,0.42,24,0.75,41,41,0.317,16,7,6,25,85,0.435,23,0.652,41,34,0.353,14,9,3,26,6,12,0,0
2023-11-12,Portland,110,LA Lakers,116,90,0.5,9,0.778,38,37,0.351,15,2,8,29,84,0.488,37,0.811,41,19,0.211,9,8,4,27,23,3,1,0
2023-11-12,Dallas,136,New Orleans,124,102,0.49,21,0.762,42,53,0.377,6,7,6,29,92,0.511,22,0.591,54,36,0.472,18,2,3,31,10,17,0,0
2023-11-12,Charlotte,107,New York,129,94,0.468,11,0.636,36,35,0.343,12,5,4,21,87,0.54,30,0.667,40,36,0.417,9,8,4,25,18,5,1,0
2023-11-12,Indiana,126,Philadelphia,137,90,0.522,19,0.842,32,39,0.41,10,8,9,31,105,0.505,20,0.85,54,33,0.424,11,5,7,28,26,1,1,0
2023-11-12,Oklahoma City,111,Phoenix,99,82,0.488,25,0.84,33,27,0.37,7,9,8,23,83,0.386,31,0.839,51,29,0.31,17,4,7,20,24,27,0,0
2023-11-12,Miami,118,San Antonio,113,89,0.438,30,0.933,41,31,0.387,4,7,3,26,91,0.462,12,0.833,50,44,0.432,17,3,6,35,15,25,0,0
2023-11-13,New York,98,Boston,114,79,0.418,24,0.708,37,35,0.429,8,5,2,17,79,0.506,16,0.938,37,43,0.442,11,3,3,27,20,18,1,0
2023-11-13,Chicago,109,Milwaukee,118,100,0.38,21,0.905,47,42,0.333,6,9,7,24,89,0.472,27,0.704,53,47,0.319,15,3,5,23,11,2,1,0
2023-11-13,Cleveland,120,Sacramento,132,91,0.495,17,0.824,39,35,0.457,11,3,1,24,83,0.59,22,0.636,37,42,0.476,10,3,4,32,4,9,1,0
2023-11-13,Washington,107,Toronto,111,84,0.512,12,0.75,38,26,0.462,22,11,5,32,90,0.5,25,0.68,48,20,0.2,16,11,4,28,14,0,1,0
2023-11-14,Orlando,104,Brooklyn,124,82,0.439,21,0.762,37,46,0.348,14,9,4,23,85,0.541,20,0.65,44,39,0.487,15,13,3,22,7,16,1,0
2023-11-14,Miami,111,Charlotte,105,83,0.482,28,0.821,42,31,0.258,7,12,5,26,81,0.444,22,0.818,45,32,0.469,18,6,0,21,5,25,0,0
2023-11-14,LA Clippers,108,Denver,111,86,0.43,24,0.875,42,29,0.448,10,10,1,21,73,0.534,32,0.781,36,23,0.348,14,4,2,26,8,6,1,0
2023-11-14,Atlanta,126,Detroit,120,87,0.517,26,0.923,41,33,0.364,14,9,7,28,90,0.522,23,0.696,42,29,0.345,17,9,6,36,13,22,0,0
2023-11-14,Minnesota,104,Golden State,101,81,0.444,21,0.857,42,34,0.412,19,9,5,24,88,0.42,16,0.875,46,39,0.333,19,11,2,28,19,28,0,0
2023-11-14,Memphis,107,LA Lakers,134,106,0.368,12,0.75,33,53,0.377,9,8,9,28,81,0.58,24,0.75,54,35,0.629,18,4,10,30,23,12,1,0
2023-11-14,Dallas,110,New Orleans,131,90,0.422,26,0.769,45,42,0.333,20,4,3,25,94,0.521,26,0.731,42,38,0.368,12,17,6,33,10,17,1,0
2023-11-14,San Antonio,87,Oklahoma City,123,93,0.387,9,0.667,43,30,0.3,24,7,6,24,89,0.517,20,0.8,40,39,0.385,15,19,6,34,27,15,1,0
2023-11-14,Indiana,132,Philadelphia,126,93,0.516,33,0.697,41,37,0.351,11,7,5,32,86,0.5,35,0.971,38,22,0.273,16,5,3,22,26,1,0,0
2023-11-14,Portland,99,Utah,115,88,0.42,20,0.7,43,35,0.314,17,5,6,23,95,0.463,15,0.933,52,43,0.302,12,11,6,26,21,3,1,0
2023-11-15,New York,116,Atlanta,114,94,0.479,11,0.909,42,34,0.471,16,9,2,29,75,0.547,26,0.769,30,31,0.387,15,11,6,28,22,18,0,0
2023-11-15,Orlando,96,Chicago,94,82,0.39,30,0.8,46,28,0.286,13,12,3,20,83,0.398,22,0.864,53,33,0.273,19,7,4,16,2,16,0,0
2023-11-15,Sacramento,125,LA Lakers,110,96,0.5,17,0.765,45,44,0.364,15,20,1,31,83,0.506,19,0.789,43,29,0.379,23,12,6,25,23,4,0,0
2023-11-15,Boston,117,Philadelphia,107,88,0.477,19,0.789,45,50,0.36,9,7,8,23,85,0.459,22,0.818,41,30,0.367,9,5,1,18,26,20,0,0
2023-11-15,Minnesota,115,Phoenix,133,92,0.457,28,0.929,40,27,0.185,6,8,5,18,85,0.6,15,0.933,32,31,0.548,9,1,4,31,24,28,1,0
2023-11-15,Cleveland,109,Portland,95,75,0.56,21,0.762,47,30,0.3,17,5,9,23,91,0.374,16,0.875,30,38,0.342,12,9,3,24,3,9,0,0
2023-11-15,Milwaukee,128,Toronto,112,85,0.518,21,0.952,41,39,0.513,13,8,9,25,96,0.396,31,0.871,55,33,0.273,14,10,8,28,14,11,0,0
2023-11-15,Dallas,130,Washington,117,92,0.522,29,0.586,46,42,0.405,10,6,4,32,89,0.483,23,0.826,46,36,0.333,12,6,1,23,0,17,0,0
2023-11-16,Oklahoma City,128,Golden State,109,87,0.506,23,0.913,42,32,0.594,12,10,3,31,98,0.408,19,0.789,49,41,0.341,16,5,4,27,19,27,0,0
2023-11-16,Brooklyn,115,Miami,122,85,0.471,27,0.778,40,36,0.389,14,5,3,29,81,0.519,24,0.958,32,35,0.429,9,8,3,26,25,7,1,0
2023-11-17,Philadelphia,126,Atlanta,116,88,0.489,28,0.964,43,30,0.433,15,9,4,32,89,0.449,30,0.8,39,33,0.364,13,8,4,24,22,26,0,0
2023-11-17,Orlando,103,Chicago,97,79,0.481,23,0.696,46,34,0.324,17,7,7,24,79,0.443,22,0.773,34,29,0.345,16,10,3,19,2,16,0,0
2023-11-17,Milwaukee,130,Charlotte,99,89,0.551,13,0.769,49,45,0.489,13,4,7,32,91,0.407,22,0.864,43,26,0.231,12,5,2,18,5,11,0,0
2023-11-17,Detroit,100,Cleveland,108,91,0.429,15,0.867,51,35,0.257,17,8,6,20,82,0.512,21,0.714,39,21,0.429,12,9,6,21,9,13,1,0
2023-11-17,Houston,100,LA Clippers,106,88,0.432,20,0.7,47,31,0.323,16,6,5,24,83,0.434,30,0.7,47,34,0.382,12,10,7,22,6,29,1,0
2023-11-17,Denver,110,New Orleans,115,96,0.49,12,0.5,51,40,0.25,13,4,3,37,88,0.523,21,0.524,39,23,0.522,9,8,5,33,10,8,1,0
2023-11-17,LA Lakers,107,Portland,95,81,0.494,22,0.682,44,29,0.414,18,11,6,27,89,0.404,18,0.722,48,37,0.27,18,11,2,17,3,23,0,0
2023-11-17,Sacramento,129,San Antonio,120,85,0.541,24,0.792,42,42,0.429,13,10,2,31,92,0.467,23,0.826,42,36,0.417,15,7,3,33,15,4,0,0
2023-11-17,Boston,108,Toronto,105,92,0.457,9,0.889,44,46,0.348,10,5,4,29,87,0.483,14,0.643,41,33,0.364,13,4,1,29,14,20,0,0
2023-11-17,Phoenix,131,Utah,128,86,0.523,26,0.885,36,33,0.545,8,5,4,35,85,0.506,31,0.839,39,36,0.444,8,3,10,27,21,24,0,0
2023-11-17,New York,120,Washington,99,91,0.495,20,0.7,48,38,0.421,10,5,6,26,82,0.451,16,0.938,32,32,0.313,14,4,4,25,0,18,0,0
2023-11-18,Miami,97,Chicago,102,77,0.429,23,0.826,34,36,0.333,15,9,0,23,81,0.444,19,0.737,44,45,0.356,12,9,6,24,2,25,1,0
2023-11-18,New York,122,Charlotte,108,91,0.505,19,0.737,47,37,0.432,12,7,4,27,82,0.488,13,0.846,36,35,0.486,13,5,5,29,5,18,0,0
2023-11-18,Oklahoma City,130,Golden State,123,100,0.52,20,0.9,47,23,0.348,10,8,7,26,97,0.454,21,0.81,49,46,0.391,16,6,4,33,19,27,0,0
2023-11-18,Dallas,125,Milwaukee,132,103,0.495,10,0.7,49,47,0.34,12,1,2,27,94,0.521,20,0.85,41,45,0.378,6,8,3,29,11,17,1,0
2023-11-18,Minnesota,121,New Orleans,120,80,0.538,27,0.815,33,31,0.419,14,6,7,29,86,0.512,23,0.87,40,29,0.414,17,9,5,27,10,28,0,0
2023-11-18,Memphis,120,San Antonio,108,86,0.465,36,0.806,45,33,0.333,12,7,3,23,83,0.434,26,0.808,40,40,0.375,15,5,9,26,15,12,0,0
2023-11-19,Philadelphia,121,Brooklyn,99,94,0.468,18,0.944,44,35,0.457,4,8,4,32,81,0.469,16,0.75,45,28,0.393,15,2,8,24,7,26,0,0
2023-11-19,Denver,109,Cleveland,121,82,0.476,23,0.739,33,29,0.483,11,7,5,23,82,0.549,26,0.769,47,27,0.407,13,6,5,30,9,8,1,0
2023-11-19,Sacramento,129,Dallas,113,90,0.533,21,0.762,48,40,0.425,12,9,3,34,88,0.466,26,0.731,40,34,0.353,10,8,2,23,17,4,0,0
2023-11-19,Orlando,128,Indiana,116,87,0.494,42,0.833,42,20,0.35,15,10,10,21,95,0.442,31,0.774,40,31,0.258,16,10,7,24,1,16,0,0
2023-11-19,Houston,104,LA Lakers,105,84,0.488,10,0.8,34,37,0.378,18,7,3,35,83,0.47,29,0.724,42,29,0.207,17,13,1,26,23,29,1,0
2023-11-19,Boston,102,Memphis,100,77,0.455,25,0.8,45,31,0.387,17,6,10,20,95,0.389,10,0.9,42,44,0.386,9,7,5,28,12,20,0,0
2023-11-19,Oklahoma City,134,Portland,91,81,0.605,14,1.0,43,36,0.611,17,8,3,28,85,0.4,21,0.667,31,34,0.265,17,10,2,21,3,27,0,0
2023-11-19,Detroit,113,Toronto,142,83,0.47,35,0.743,41,26,0.346,17,3,3,25,102,0.539,29,0.621,47,36,0.389,7,10,5,44,14,13,1,0
2023-11-19,Phoenix,140,Utah,137,102,0.49,26,0.846,44,45,0.4,17,11,13,36,115,0.417,32,0.813,59,46,0.326,18,11,5,27,21,24,0,0
2023-11-20,Miami,118,Chicago,100,84,0.5,20,0.85,43,35,0.486,8,7,1,31,81,0.457,16,0.938,36,37,0.297,11,2,7,21,2,25,0,0
